implementation,config,threads,run,total_ms
basis_par,config1.txt,1,1,19394.0
basis_par,config1.txt,1,2,19244.0
basis_par,config1.txt,1,3,19770.0
basis_par,config1.txt,1,4,19914.0
basis_par,config1.txt,1,5,19941.0
proftools,config1.txt,1,1,20076.0
proftools,config1.txt,1,2,19899.0
proftools,config1.txt,1,3,19979.0
proftools,config1.txt,1,4,19886.0
proftools,config1.txt,1,5,20006.0
basis_par,config2.txt,2,1,11548.0
basis_par,config2.txt,2,2,11899.0
basis_par,config2.txt,2,3,11716.0
basis_par,config2.txt,2,4,11985.0
basis_par,config2.txt,2,5,11918.0
proftools,config2.txt,2,1,12003.0
proftools,config2.txt,2,2,11926.0
proftools,config2.txt,2,3,11911.0
proftools,config2.txt,2,4,11893.0
proftools,config2.txt,2,5,11842.0
basis_par,config3.txt,4,1,9724.0
basis_par,config3.txt,4,2,9772.0
basis_par,config3.txt,4,3,9702.0
basis_par,config3.txt,4,4,9962.0
basis_par,config3.txt,4,5,10069.0
proftools,config3.txt,4,1,7124.0
proftools,config3.txt,4,2,7072.0
proftools,config3.txt,4,3,7068.0
proftools,config3.txt,4,4,7086.0
proftools,config3.txt,4,5,7044.0
basis_par,config4.txt,8,1,7586.0
basis_par,config4.txt,8,2,7435.0
basis_par,config4.txt,8,3,7659.0
basis_par,config4.txt,8,4,7556.0
basis_par,config4.txt,8,5,7544.0
proftools,config4.txt,8,1,5801.0
proftools,config4.txt,8,2,5790.0
proftools,config4.txt,8,3,5830.0
proftools,config4.txt,8,4,5910.0
proftools,config4.txt,8,5,5874.0
basis_par,config5.txt,16,1,7285.0
basis_par,config5.txt,16,2,7621.0
basis_par,config5.txt,16,3,7400.0
basis_par,config5.txt,16,4,7521.0
basis_par,config5.txt,16,5,7507.0
proftools,config5.txt,16,1,4070.0
proftools,config5.txt,16,2,4073.0
proftools,config5.txt,16,3,4163.0
proftools,config5.txt,16,4,4089.0
proftools,config5.txt,16,5,4102.0
